time_s,projector_control_target_mean,projector_control_target_min,projector_control_target_max,projector_control_outside_mean,projector_control_outside_max,projector_control_boundary_mean,projector_control_boundary_max,local_intensity_target_mean_mw_cm2,local_intensity_target_min_mw_cm2,local_intensity_target_max_mw_cm2,local_intensity_outside_mean_mw_cm2,local_intensity_outside_max_mw_cm2,local_intensity_boundary_mean_mw_cm2,local_intensity_boundary_max_mw_cm2,boundary_o2_mean_mj_cm2,boundary_o2_min_mj_cm2,boundary_o2_reserve_mean,boundary_o2_reserve_min,boundary_o2_depletion_mean,boundary_o2_depletion_max,boundary_o2_reserve_below_75pct_fraction,boundary_o2_reserve_below_50pct_fraction,boundary_o2_reserve_below_25pct_fraction,boundary_o2_reserve_below_5pct_fraction,boundary_o2_at_or_below_zero_fraction,outside_doc_mean,outside_doc_max,boundary_doc_mean,boundary_doc_max
0.5,0.6237320899963379,0.13877882063388824,0.997494101524353,0.06064833328127861,0.5644835829734802,0.08110939711332321,0.4403012990951538,16.29720115661621,6.893532752990723,29.840682983398438,1.8771263360977173,19.414661407470703,7.973621368408203,19.414661407470703,22.595958709716797,19.0523738861084,0.8153941035270691,0.6875209212303162,0.18460583686828613,0.31247907876968384,0.05064063146710396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5417016744613647,0.07695050537586212,0.9971693158149719,0.03309991955757141,0.6128297448158264,0.053002916276454926,0.3241722881793976,13.973980903625488,3.411679267883301,29.81311798095703,1.0473850965499878,17.08460235595703,6.722462177276611,17.08460235595703,17.840621948242188,12.873754501342773,0.6437938213348389,0.46456024050712585,0.35620614886283875,0.5354397296905518,0.9951189160346985,0.008541793562471867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.5497272610664368,0.03236815705895424,0.9968124032020569,0.030319759622216225,0.7628154158592224,0.07184205949306488,0.6911174654960632,14.162079811096191,3.118445634841919,29.456789016723633,0.9652379751205444,17.31591796875,7.75634765625,17.31591796875,12.866782188415527,8.412689208984375,0.4643086791038513,0.3035789728164673,0.5356912612915039,0.6964210271835327,0.9999999403953552,0.7754728198051453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5944821238517761,0.012533602304756641,0.9981263279914856,0.03437799960374832,0.9278634190559387,0.25933408737182617,0.9042059779167175,15.827777862548828,2.3788154125213623,25.839773178100586,1.079269289970398,26.730308532714844,13.278587341308594,26.111318588256836,6.017168045043945,1.4995702505111694,0.21713456511497498,0.05411325395107269,0.7828653454780579,0.9458867311477661,0.9999999403953552,0.9999999403953552,0.6625991463661194,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.7570174336433411,0.008770432323217392,0.9994353652000427,0.03732888773083687,0.9983931183815002,0.8484804034233093,0.9983931183815002,22.23347282409668,9.481679916381836,29.790010452270508,1.1312607526779175,29.918825149536133,24.204191207885742,29.918825149536133,0.00032065456616692245,0.0,1.1571089999051765e-05,0.0,0.999988317489624,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9963392019271851,0.0011584091698750854,0.2822015881538391,0.10304857790470123,0.2822015881538391
3.0,0.773983895778656,0.10985592007637024,0.9994611144065857,0.02631537988781929,0.9983129501342773,0.5048570036888123,0.9983129501342773,21.661502838134766,11.783440589904785,29.618234634399414,0.8266744613647461,27.830881118774414,15.320905685424805,27.830881118774414,8.106420136755332e-05,0.0,2.9252701096993405e-06,0.0,0.999997079372406,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9920682907104492,0.0028070949483662844,0.5144459009170532,0.25432348251342773,0.5144459009170532
3.5,0.7603944540023804,0.13624301552772522,0.9995444416999817,0.02540222927927971,0.99875807762146,0.49822378158569336,0.99875807762146,21.30306053161621,13.612351417541504,29.65801239013672,0.7981035709381104,28.186485290527344,14.978869438171387,28.186485290527344,0.0,0.0,0.0,0.0,0.9999999403953552,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.00423422921448946,0.6768375635147095,0.3826048672199249,0.6768375635147095
4.0,0.7526232004165649,0.0834227129817009,0.9995824694633484,0.0255231074988842,0.998941957950592,0.5443823933601379,0.998941957950592,21.282840728759766,15.011170387268066,29.422313690185547,0.7966445088386536,28.245376586914062,15.714573860168457,28.245376586914062,3.282948455307633e-05,0.0,1.1846794905068236e-06,0.0,0.9999987483024597,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9975594282150269,0.005584563594311476,0.7892257571220398,0.4987136721611023,0.7892257571220398
4.5,0.7548545598983765,0.05836236849427223,0.9996508359909058,0.027042632922530174,0.9990725517272949,0.7029358744621277,0.9990725517272949,21.85019302368164,14.38998031616211,29.63425636291504,0.8302779793739319,28.16128158569336,18.395368576049805,28.16128158569336,2.0019668227178045e-05,0.0,7.224265914373973e-07,0.0,0.9999992251396179,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.996949315071106,0.007054427172988653,0.8629570603370667,0.6042589545249939,0.8629570603370667
5.0,0.7588106989860535,0.03534319996833801,0.9997009038925171,0.02895497903227806,0.9991711378097534,0.8881505727767944,0.9991711378097534,22.465072631835938,13.898362159729004,29.79364585876465,0.8757969737052917,29.874391555786133,21.39567756652832,29.874391555786133,3.038098475371953e-05,0.0,1.0963233307847986e-06,0.0,0.9999988675117493,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.996949315071106,0.00867060013115406,0.911427915096283,0.700612485408783,0.911427915096283
