time_s,projector_control_target_mean,projector_control_target_min,projector_control_target_max,projector_control_outside_mean,projector_control_outside_max,projector_control_boundary_mean,projector_control_boundary_max,local_intensity_target_mean_mw_cm2,local_intensity_target_min_mw_cm2,local_intensity_target_max_mw_cm2,local_intensity_outside_mean_mw_cm2,local_intensity_outside_max_mw_cm2,local_intensity_boundary_mean_mw_cm2,local_intensity_boundary_max_mw_cm2,boundary_o2_mean_mj_cm2,boundary_o2_min_mj_cm2,boundary_o2_reserve_mean,boundary_o2_reserve_min,boundary_o2_depletion_mean,boundary_o2_depletion_max,boundary_o2_reserve_below_75pct_fraction,boundary_o2_reserve_below_50pct_fraction,boundary_o2_reserve_below_25pct_fraction,boundary_o2_reserve_below_5pct_fraction,boundary_o2_at_or_below_zero_fraction,weighted_outside_o2_reserve,weighted_outside_o2_depletion,outside_doc_mean,outside_doc_max,boundary_doc_mean,boundary_doc_max,weighted_outside_doc
0.5,0.5037043690681458,0.07803772389888763,0.9962499737739563,0.05098658427596092,0.35635921359062195,0.02011125162243843,0.15159235894680023,13.210794448852539,1.5710147619247437,29.78620147705078,1.5749868154525757,17.5283145904541,4.795261859893799,17.5283145904541,24.443893432617188,20.352550506591797,0.8820784687995911,0.7344388961791992,0.11792150139808655,0.2655611038208008,0.0012202562065795064,0.0,0.0,0.0,0.0,0.8941293358802795,0.1058708056807518,0.0,0.0,0.0,0.0,0.0
1.0,0.0630704015493393,0.005132036283612251,0.6046973466873169,0.020823316648602486,0.040908753871917725,0.002540846122428775,0.014944594353437424,1.5307832956314087,0.09942024201154709,11.76323127746582,0.6333296895027161,7.065558910369873,0.835385799407959,7.065558910369873,23.45737075805664,20.27556610107422,0.8464789986610413,0.7316608428955078,0.15352095663547516,0.2683391571044922,0.0012202562065795064,0.0,0.0,0.0,0.0,0.8555301427841187,0.14447002112865448,0.0,0.0,0.0,0.0,0.0
1.5,0.1560540497303009,0.001783843501470983,0.9896358847618103,0.017833342775702477,0.019998595118522644,0.0009170167613774538,0.0025461765471845865,4.637580871582031,0.05012340843677521,29.447097778320312,0.5360521674156189,1.1191788911819458,0.12391042709350586,1.1191788911819458,22.96013069152832,20.553268432617188,0.8285357356071472,0.7416819930076599,0.17146427929401398,0.2583180069923401,0.007321537472307682,0.0,0.0,0.0,0.0,0.837236225605011,0.1627638190984726,0.0,0.0,0.0,0.0,0.0
2.0,0.8116887807846069,0.001429347088560462,0.999629020690918,0.017947694286704063,0.9945202469825745,0.054258279502391815,0.9945202469825745,22.40008544921875,0.04070572927594185,29.98310089111328,0.5850200057029724,24.607471466064453,5.571526050567627,24.607471466064453,18.246782302856445,12.620412826538086,0.6584504246711731,0.455418199300766,0.34154951572418213,0.5445817708969116,0.9121415019035339,0.005491152871400118,0.0,0.0,0.0,0.7073065042495728,0.2926936447620392,0.0,0.0,0.0,0.0,0.0
2.5,0.9955638647079468,0.06394089013338089,0.99992835521698,0.042251307517290115,0.9998289346694946,0.9414145350456238,0.9998289346694946,29.592191696166992,16.251293182373047,29.997217178344727,1.2741010189056396,29.995906829833984,27.596527099609375,29.995906829833984,4.564996719360352,0.0,0.16473174095153809,0.0,0.8352681994438171,1.0,0.9999999403953552,0.9999999403953552,0.9060402512550354,0.019524099305272102,0.002440512413159013,0.24943332374095917,0.750566840171814,2.885061576307635e-07,0.020227491855621338,2.8167285563540645e-05,0.020227491855621338,1.6591699022683315e-05
3.0,0.9655834436416626,0.5342677235603333,0.999981164932251,0.038136981427669525,0.9999618530273438,0.9998705983161926,0.9999618530273438,28.968360900878906,22.03974151611328,29.999042510986328,1.144088864326477,29.998741149902344,29.024112701416016,29.998741149902344,0.010056271217763424,0.0,0.0003628890262916684,0.0,0.9996371269226074,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9609517455101013,0.05874079093337059,0.9412592649459839,0.001766846631653607,0.37122058868408203,0.14892612397670746,0.37122058868408203,0.09550794214010239
3.5,0.9578779339790344,0.5050457715988159,0.9999786615371704,0.03163934126496315,0.9999535083770752,0.9997838735580444,0.9999535083770752,28.715965270996094,21.140491485595703,29.998844146728516,0.9496668577194214,29.998512268066406,26.049610137939453,29.998512268066406,0.0,0.0,0.0,0.0,0.9999999403953552,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.04725058004260063,0.9527496099472046,0.004436602350324392,0.6006559729576111,0.36346131563186646,0.6006559729576111,0.2371499389410019
4.0,0.9594288468360901,0.49902278184890747,0.999982476234436,0.030630098655819893,0.9999631643295288,0.9998270273208618,0.9999631643295288,28.73879051208496,21.208585739135742,29.99905776977539,0.9199556708335876,29.998790740966797,25.58946418762207,29.998790740966797,0.0013783063041046262,0.0,4.9737340305000544e-05,0.0,0.9999502301216125,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9847467541694641,0.040275368839502335,0.9597247242927551,0.006629616022109985,0.7471374273300171,0.5241828560829163,0.7471374273300171,0.34821364283561707
4.5,0.9601399302482605,0.534032940864563,0.999984860420227,0.029828961938619614,0.9999696016311646,0.9998478293418884,0.9999696016311646,28.712318420410156,21.8924617767334,29.99919891357422,0.8970633149147034,29.998931884765625,25.014406204223633,29.998931884765625,0.00027907860931009054,0.0,1.007078662951244e-05,0.0,0.999989926815033,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.996949315071106,0.03641258180141449,0.9635874629020691,0.008374150842428207,0.8402032852172852,0.6387229561805725,0.8402032852172852,0.4315488338470459
5.0,0.9356145858764648,0.35864555835723877,0.9999872446060181,0.028471235185861588,0.9999721050262451,0.9708976149559021,0.9999721050262451,27.833410263061523,18.48060417175293,29.99928855895996,0.859750509262085,29.99897575378418,23.797693252563477,29.99897575378418,0.03138462454080582,0.0,0.0011325405212119222,0.0,0.9988674521446228,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9987797141075134,0.9341061115264893,0.036580801010131836,0.9634192585945129,0.00964189413934946,0.8985174894332886,0.7147348523139954,0.8985174894332886,0.4890468418598175
