time_s,projector_control_target_mean,projector_control_target_min,projector_control_target_max,projector_control_outside_mean,projector_control_outside_max,projector_control_boundary_mean,projector_control_boundary_max,local_intensity_target_mean_mw_cm2,local_intensity_target_min_mw_cm2,local_intensity_target_max_mw_cm2,local_intensity_outside_mean_mw_cm2,local_intensity_outside_max_mw_cm2,local_intensity_boundary_mean_mw_cm2,local_intensity_boundary_max_mw_cm2,boundary_o2_mean_mj_cm2,boundary_o2_min_mj_cm2,boundary_o2_reserve_mean,boundary_o2_reserve_min,boundary_o2_depletion_mean,boundary_o2_depletion_max,boundary_o2_reserve_below_75pct_fraction,boundary_o2_reserve_below_50pct_fraction,boundary_o2_reserve_below_25pct_fraction,boundary_o2_reserve_below_5pct_fraction,boundary_o2_at_or_below_zero_fraction,weighted_outside_o2_reserve,weighted_outside_o2_depletion,outside_doc_mean,outside_doc_max,boundary_doc_mean,boundary_doc_max,weighted_outside_doc
0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.212757110595703,9.888426780700684,30.0,0.09045757353305817,16.36884307861328,8.14044189453125,16.36884307861328,22.178207397460938,17.19210433959961,0.8003191351890564,0.6203915476799011,0.19968077540397644,0.3796084523200989,0.197071373462677,0.0,0.0,0.0,0.0,0.8535643219947815,0.14643585681915283,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.212757110595703,9.888426780700684,30.0,0.09045757353305817,16.36884307861328,8.14044189453125,16.36884307861328,16.164220809936523,6.308915138244629,0.5832995176315308,0.22766250371932983,0.41670045256614685,0.7723374962806702,0.9066503643989563,0.24649176001548767,0.00610128091648221,0.0,0.0,0.6757950186729431,0.32420507073402405,0.0,0.0,0.0,0.0,0.0
1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.212757110595703,9.888426780700684,30.0,0.09045757353305817,16.36884307861328,8.14044189453125,16.36884307861328,10.485055923461914,0.0,0.3783620595932007,0.0,0.6216378808021545,1.0,0.9926784038543701,0.7382550239562988,0.23428919911384583,0.017083587124943733,0.002440512413159013,0.4986951947212219,0.5013049244880676,3.40706890256115e-07,0.023014068603515625,3.32637173414696e-05,0.023014068603515625,1.95937100215815e-05
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.212757110595703,9.888426780700684,30.0,0.09045757353305817,16.36884307861328,8.14044189453125,16.36884307861328,6.721207141876221,0.0,0.2425403892993927,0.0,0.7574595808982849,1.0,0.9999999403953552,0.9133617877960205,0.5820621848106384,0.12934716045856476,0.04270896688103676,0.3669815957546234,0.6330184936523438,3.00689680443611e-05,0.2752078175544739,0.0029356779996305704,0.2752078175544739,0.0017292362172156572
2.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.212757110595703,9.888426780700684,30.0,0.09045757353305817,16.36884307861328,8.14044189453125,16.36884307861328,4.745178699493408,0.0,0.17123377323150635,0.0,0.8287662267684937,1.0,0.9999999403953552,0.9658327698707581,0.7156802415847778,0.2696766257286072,0.0945698544383049,0.2865493893623352,0.7134507298469543,0.00015323855041060597,0.5011310577392578,0.01496090553700924,0.5011310577392578,0.008812595158815384
3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.212757110595703,9.888426780700684,30.0,0.09045757353305817,16.36884307861328,8.14044189453125,16.36884307861328,3.610734462738037,0.0,0.13029637932777405,0.0,0.8697036504745483,1.0,0.9999999403953552,0.9914581775665283,0.8102501034736633,0.3697376251220703,0.16351433098316193,0.23482200503349304,0.7651780247688293,0.00036906456807628274,0.6589045524597168,0.03598981723189354,0.6589045524597168,0.021215887740254402
3.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.212757110595703,9.888426780700684,30.0,0.09045757353305817,16.36884307861328,8.14044189453125,16.36884307861328,2.8837296962738037,0.0,0.10406181216239929,0.0,0.8959380984306335,1.0,0.9999999403953552,0.9999999403953552,0.8718730807304382,0.44600364565849304,0.2287980318069458,0.1989770382642746,0.8010230660438538,0.0006600259221158922,0.7667802572250366,0.06407012790441513,0.7667802572250366,0.037882328033447266
4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.212757110595703,9.888426780700684,30.0,0.09045757353305817,16.36884307861328,8.14044189453125,16.36884307861328,2.382859468460083,0.0,0.08598749339580536,0.0,0.9140124917030334,1.0,0.9999999403953552,0.9999999403953552,0.9206833243370056,0.5088468194007874,0.2702867388725281,0.1727571189403534,0.8272429704666138,0.0010020564077422023,0.8405390381813049,0.09693768620491028,0.8405390381813049,0.057445283979177475
4.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.212757110595703,9.888426780700684,30.0,0.09045757353305817,16.36884307861328,8.14044189453125,16.36884307861328,2.0186171531677246,0.0,0.07284349203109741,0.0,0.9271564483642578,1.0,0.9999999403953552,0.9999999403953552,0.94203782081604,0.5399633646011353,0.3154362440109253,0.15276819467544556,0.8472318649291992,0.001364545663818717,0.8909706473350525,0.1315089762210846,0.8909706473350525,0.07812505960464478
5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.212757110595703,9.888426780700684,30.0,0.09045757353305817,16.36884307861328,8.14044189453125,16.36884307861328,1.7445675134658813,0.0,0.06295418739318848,0.0,0.9370458126068115,1.0,0.9999999403953552,0.9999999403953552,0.9542403817176819,0.575350821018219,0.34960341453552246,0.13709209859371185,0.8629080057144165,0.0017309213289991021,0.9254526495933533,0.1660081297159195,0.9254526495933533,0.09893646836280823
