component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,101,5833.76,0.399938958706242,0.39936816692352295,0.0,1.0
2,202,11667.52,0.4000708263109226,0.3990944355726242,0.0,1.0
3,303,17501.28,0.39965768832184695,0.39735187292099,0.0,1.0
4,404,23335.04,0.40017178566148964,0.3996958673000336,0.0,1.0
5,505,29168.8,0.4001055095455434,0.39863312244415283,0.0,1.0
6,606,35002.56,0.4001590585944676,0.398748055100441,0.0,1.0
7,707,40836.32,0.40000069478613653,0.3974761128425598,0.0,1.0
8,808,46670.08,0.40013822330401677,0.3990966707468033,0.0,1.0
9,1313,75838.88,0.4001927429814422,0.39850062131881714,0.0,1.0
10,1818,105007.68,0.40020108872120924,0.3986048698425293,0.0,1.0
11,2323,134176.47999999998,0.40020559542763096,0.3986173987388611,0.0,1.0
12,2828,163345.28,0.40020918584780446,0.3986273229122162,0.0,1.0
13,3630,209668.8,0.4002092117613012,0.39862775802612305,0.0,1.0
14,4840,279558.39999999997,0.40021445935915323,0.39863204658031465,0.0,1.0
15,6050,349448.0,0.4002166770016852,0.39864063262939453,0.0,1.0
16,7260,419337.6,0.40021832952322056,0.39887904822826387,0.0,1.0
17,8470,489227.2,0.40021918348466634,0.3991020619869232,0.0,1.0
