component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,1,57.76,0.0,0.0,0.0,1.0
2,9,519.84,0.11394352383083767,0.0,0.1111111111111111,0.8888888888888888
3,25,1444.0,0.7778810286521911,0.0,0.84,0.16000000000000003
4,49,2830.24,0.8934505885961105,0.0,0.9183673469387755,0.08163265306122447
5,81,4678.5599999999995,0.9359431906982705,0.913353443145752,0.9506172839506173,0.04938271604938271
6,121,6988.96,0.9567176872048496,0.9185690879821777,0.9669421487603306,0.03305785123966942
7,169,9761.44,0.9685369673565295,0.9206036329269409,0.9763313609467456,0.023668639053254448
8,225,12996.0,0.975944766468472,0.9319694161415101,0.9822222222222222,0.01777777777777778
9,289,16692.64,0.9809135464648474,0.9742964506149292,0.986159169550173,0.01384083044982698
10,361,20851.36,0.9844180967999298,0.9743430614471436,0.9889196675900277,0.011080332409972304
11,441,25472.16,0.9869877075662419,0.9830320477485657,0.9909297052154195,0.009070294784580546
12,961,55507.36,0.9933834539863992,0.988509476184845,0.9958376690946931,0.004162330905306932
13,1681,97094.56,0.9957983462602025,0.9895909428596497,0.9976204640095181,0.002379535990481907
14,2601,150233.76,0.9969813674516469,0.9896960854530334,0.9984621299500193,0.0015378700499807385
15,3721,214924.96,0.997655502508738,0.9897069931030273,0.998925020155872,0.0010749798441279657
16,5041,291168.16,0.9980796657486394,0.9897071719169617,0.9992065066455068,0.000793493354493191
17,19881,1148326.56,0.9990580182285126,0.9994380474090576,0.9997988028771189,0.000201197122881136
18,14641,845664.1599999999,0.9989261246062996,0.9994380474090576,0.999726794617854,0.0002732053821460356
19,10201,589209.76,0.9987203430549828,0.9994380474090576,0.9996078815802373,0.00039211841976272144
