sample,power_mw,tempo_mm,trial,folder,frame_count,plotted_frame_count,fps_est,crop_size_px,circle_center_row,circle_center_col,offset_roi_center_row,offset_roi_center_col,center_roi_radius_px,offset_roi_radius_px,circle_radius_px,led_on_artifact_s,led_off_s,led_off_detected,led_off_method,raw_led_artifact_duration_s,alignment_duration_s,timestamp_scale_to_30s,first_plotted_time_s,last_plotted_time_s,offset_max_intensity,center_max_intensity,offset_t_30pct_max_s,offset_t_90pct_max_s,offset_peak_Rp_intensity_per_s,offset_t_peak_Rp_s,offset_smoothed_inflection_time_s,offset_smoothed_inflection_intensity,cropped_source_folder,summary_gif
20mW_0mMTEMPO,20,0,2,20mW_0mMTEMPO_T2,443,386,19.608,450,263,389,328,454,37,18,184.788,1.301,28.301,False,led_on_plus_30s,27.0,27.0,1.0,0.0,27.05,40026.3005,42708.7092,1.65,4.149,67848.4246,9.499,2.299,22261.4274,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\20mW\0mMTEMPO_T2,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\20mW_0mM_TEMPO_T2_cropped_2x.gif
20mW_0mMTEMPO,20,0,3,20mW_0mMTEMPO_T3,453,393,19.608,450,264,389,329,454,37,19,185.011,0.849,27.849,False,led_on_plus_30s,27.0,27.0,1.0,0.0,27.1,39664.1564,43366.9068,1.651,4.7,68448.0726,5.5,2.1,20106.2723,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\20mW\0mMTEMPO_T3,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\20mW_0mM_TEMPO_T3_cropped_2x.gif
30mW_0mMTEMPO,30,0,1,30mW_0mMTEMPO_T1,508,165,19.608,450,263,389,328,454,37,18,184.416,1.25,28.25,False,led_on_plus_30s,27.0,27.0,1.0,0.0,14.3,127.2199,169.8183,0.0,0.198,594.0494,0.1,12.848,113.9206,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\30mW\0mMTEMPO_T1,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\30mW_0mM_TEMPO_T1_cropped_2x.gif
40mW_0mMTEMPO,40,0,1,40mW_0mMTEMPO_T1,469,330,19.608,450,262,411,323,472,35,17,173.351,0.553,27.553,False,led_on_plus_30s,27.0,27.0,1.0,0.0,27.048,49953.5298,50987.5845,1.349,3.147,75438.2902,7.697,2.247,35365.0492,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\40mW\0mMTEMPO_T1,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\40mW_0mM_TEMPO_T1_cropped_2x.gif
40mW_0mMTEMPO,40,0,2,40mW_0mMTEMPO_T2,425,274,19.608,450,262,390,326,454,37,18,184.101,1.748,28.748,False,led_on_plus_30s,27.0,27.0,1.0,0.0,27.099,39805.9463,42663.9495,4.749,4.749,10216.4378,11.449,5.1,36207.1967,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\40mW\0mMTEMPO_T2,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\40mW_0mM_TEMPO_T2_cropped_2x.gif
