20mW_0mM_TEMPO_T1_Time_s,20mW_0mM_TEMPO_T1_Intensity,20mW_0mM_TEMPO_T2_Time_s,20mW_0mM_TEMPO_T2_Intensity,30mW_0mM_TEMPO_T1_Time_s,30mW_0mM_TEMPO_T1_Intensity,30mW_0mM_TEMPO_T2_Time_s,30mW_0mM_TEMPO_T2_Intensity,30mW_0mM_TEMPO_T3_Time_s,30mW_0mM_TEMPO_T3_Intensity,40mW_0mM_TEMPO_T1_Time_s,40mW_0mM_TEMPO_T1_Intensity,40mW_0mM_TEMPO_T2_Time_s,40mW_0mM_TEMPO_T2_Intensity,20mW_1mM_TEMPO_T1_Time_s,20mW_1mM_TEMPO_T1_Intensity,20mW_1mM_TEMPO_T2_Time_s,20mW_1mM_TEMPO_T2_Intensity,30mW_1mM_TEMPO_T1_Time_s,30mW_1mM_TEMPO_T1_Intensity,30mW_1mM_TEMPO_T2_Time_s,30mW_1mM_TEMPO_T2_Intensity,40mW_1mM_TEMPO_T1_Time_s,40mW_1mM_TEMPO_T1_Intensity,40mW_1mM_TEMPO_T2_Time_s,40mW_1mM_TEMPO_T2_Intensity,20mW_5mM_TEMPO_T1_Time_s,20mW_5mM_TEMPO_T1_Intensity,20mW_5mM_TEMPO_T2_Time_s,20mW_5mM_TEMPO_T2_Intensity,30mW_5mM_TEMPO_T1_Time_s,30mW_5mM_TEMPO_T1_Intensity,30mW_5mM_TEMPO_T2_Time_s,30mW_5mM_TEMPO_T2_Intensity,40mW_5mM_TEMPO_T2_Time_s,40mW_5mM_TEMPO_T2_Intensity
13.588,228.5270479,15.435,0.154044307,,,15.627,0.103554869,16.103,0.096342092,15.652,0.08449253,16.251,0.081916538,15.532,0.180834621,17.178,0.168985059,15.377,0.102524472,16.153,0.110252447,17.902,0.100978877,,,,,16.558,0.179429849,17.052,0.115707099,17.378,0.119619899,17.101,0.108706852
13.614,228.4657393,15.46,0.138588357,,,15.653,0.101494075,16.127,0.089644513,15.676,0.09685729,16.276,0.078825348,15.583,0.160226687,17.23,0.17825863,15.402,0.107161257,16.226,0.108706852,17.928,0.09067491,,,,,16.635,0.193404136,17.102,0.106204584,17.427,0.114589156,17.128,0.106646059
13.664,227.8176198,15.487,0.139103555,,,15.702,0.0937661,16.152,0.083977331,15.727,0.08758372,16.326,0.091705307,15.609,0.174652241,17.279,0.135497166,15.453,0.102524472,16.252,0.108706852,17.977,0.094796497,,,,,16.66,0.178311906,17.152,0.115707099,17.452,0.115148127,17.153,0.109737249
13.715,228.1736218,15.511,0.132921175,,,15.727,0.111282844,16.203,0.087068521,15.752,0.088098918,16.351,0.074188563,15.659,0.167439464,17.304,0.156620299,15.478,0.114889232,16.302,0.100978877,18.003,0.107161257,,,,,16.686,0.181106764,17.178,0.1235327,17.478,0.106204584,17.177,0.09685729
13.791,228.2040185,15.537,0.150437919,,,15.777,0.08449253,16.252,0.099433282,15.801,0.083462133,16.376,0.080370943,15.71,0.172591448,17.33,0.155589902,15.502,0.112828439,16.327,0.119010819,18.029,0.088098918,,,,,16.711,0.173281163,17.227,0.113471213,17.527,0.126886529,17.226,0.110767646
13.842,228.0206079,15.562,0.142194745,,,15.827,0.088098918,16.277,0.088614116,15.852,0.078825348,16.426,0.083462133,15.76,0.176197836,17.355,0.165378671,15.527,0.105100464,16.377,0.090159711,18.078,0.088098918,,,,,16.762,0.173281163,17.253,0.114030184,17.552,0.104527669,17.301,0.107676455
13.867,228.6548171,15.613,0.155589902,,,15.853,0.088098918,16.327,0.094281298,15.877,0.085007728,16.451,0.074703761,15.787,0.179804225,17.405,0.15301391,15.577,0.098402885,16.402,0.098402885,18.102,0.09685729,,,,,16.813,0.187814421,17.278,0.106204584,17.578,0.122414757,17.377,0.093250902
13.918,227.8057702,15.639,0.139618753,,,15.877,0.09685729,16.377,0.09685729,15.902,0.074188563,16.501,0.075734158,15.811,0.192684183,17.456,0.180834621,15.602,0.116950026,16.452,0.123647604,18.177,0.104070067,,,,,16.889,0.197875908,17.302,0.110676356,17.627,0.106204584,17.426,0.10613086
13.943,228.174137,15.689,0.129314786,,,15.927,0.093250902,16.402,0.097372488,15.953,0.091190108,16.625,0.081916538,15.836,0.169500258,17.507,0.163833076,15.627,0.104585265,16.502,0.104585265,18.228,0.076249356,,,,,16.94,0.184460593,17.354,0.101732812,17.652,0.121296814,17.477,0.102009274
13.995,227.2483256,15.715,0.13755796,,,15.953,0.090159711,16.427,0.086038125,15.977,0.063884596,16.676,0.076249356,15.887,0.162287481,17.532,0.147861927,15.652,0.095826893,16.552,0.102009274,18.278,0.099433282,,,,,16.965,0.18334265,17.402,0.106204584,17.677,0.122414757,17.526,0.095311695
14.046,227.8835652,15.74,0.161257084,,,15.977,0.089644513,16.453,0.087068521,,,16.701,0.085007728,15.914,0.179804225,17.557,0.153529109,15.677,0.097887687,16.602,0.104585265,18.328,0.114889232,,,,,17.016,0.186696478,17.427,0.107881498,17.727,0.129681386,17.552,0.098402885
14.096,227.7089129,15.765,0.163317877,,,16.002,0.080370943,16.502,0.086038125,,,16.726,0.062854199,15.937,0.173106646,17.583,0.14992272,15.702,0.092220505,16.653,0.092220505,18.353,0.104070067,,,,,17.041,0.163219676,17.478,0.121855785,17.752,0.128563443,17.601,0.111282844
14.147,227.7346728,15.817,0.148377125,,,16.053,0.087068521,16.527,0.095311695,,,16.752,0.072642968,15.963,0.180834621,17.608,0.163833076,15.727,0.114374034,16.677,0.115919629,18.402,0.091705307,,,,,17.092,0.167132476,17.527,0.110117384,17.802,0.133035215,17.653,0.112313241
14.199,227.5656878,15.842,0.138073158,,,16.102,0.102009274,16.577,0.101494075,,,16.776,0.082946935,15.988,0.150437919,17.633,0.163317877,15.752,0.103554869,16.726,0.107161257,18.427,0.085007728,,,,,17.118,0.190609279,17.602,0.114030184,17.852,0.110117384,17.701,0.111798042
14.223,227.9438434,15.892,0.14064915,,,16.127,0.105100464,16.603,0.093250902,,,16.801,0.086038125,16.014,0.158681092,17.684,0.145801133,15.827,0.111798042,16.752,0.117980422,18.502,0.10613086,,,,,17.194,0.179988821,17.627,0.105086641,,,17.753,0.105615662
14.273,227.7547656,15.919,0.145801133,,,16.153,0.097372488,16.627,0.092735703,,,16.852,0.085522926,16.064,0.171561051,17.734,0.161772282,15.852,0.106646059,16.778,0.09994848,18.552,0.103554869,,,,,17.22,0.194522079,17.652,0.105645612,,,17.801,0.098918083
14.324,227.4744977,15.943,0.138073158,,,16.177,0.095311695,16.677,0.091705307,,,16.901,0.070066976,16.115,0.188562597,17.785,0.172591448,15.877,0.10922205,16.826,0.121586811,18.578,0.091705307,,,,,17.27,0.17216322,17.678,0.100055897,,,,
14.375,227.1643483,15.969,0.151983514,,,16.203,0.086038125,16.702,0.100463679,,,16.951,0.086553323,16.19,0.170530654,17.81,0.147346728,15.903,0.110767646,16.852,0.10613086,18.629,0.091190108,,,,,17.297,0.197875908,17.702,0.124650643,,,,
14.402,227.7336425,15.994,0.132921175,,,16.228,0.099433282,16.727,0.080886141,,,16.976,0.083977331,16.267,0.171561051,17.862,0.14992272,15.927,0.096342092,16.903,0.104070067,18.653,0.097372488,,,,,17.322,0.171604248,17.752,0.10117384,,,,
14.451,226.9891808,16.045,0.151468315,,,16.254,0.08758372,16.753,0.08758372,,,17.001,0.075218959,16.292,0.177228233,17.911,0.176713035,15.952,0.113858836,16.927,0.119010819,18.727,0.10613086,,,,,17.371,0.17607602,17.777,0.104527669,,,,
14.478,226.9881504,16.198,0.123647604,,,16.277,0.092220505,16.777,0.085007728,,,17.051,0.077279753,16.317,0.165893869,17.937,0.158681092,16.002,0.100463679,16.977,0.111798042,18.802,0.088098918,,,,,17.397,0.173281163,17.802,0.115148127,,,,
14.527,226.8464709,16.248,0.145285935,,,16.328,0.112313241,16.827,0.097372488,,,17.076,0.083462133,16.368,0.181865018,17.963,0.160741886,16.052,0.112828439,17.002,0.125708398,18.828,0.098402885,,,,,17.423,0.201229737,17.852,0.098937954,,,,
14.579,227.6738794,16.273,0.154559505,,,16.352,0.100978877,16.853,0.098918083,,,17.101,0.064399794,16.393,0.178773828,18.015,0.148892324,16.102,0.0937661,17.027,0.117465224,18.877,0.110252447,,,,,17.448,0.197875908,17.902,0.140860816,,,,
14.629,227.2673879,16.3,0.168985059,,,16.377,0.094796497,16.952,0.100463679,,,17.127,0.070066976,16.418,0.166409067,18.038,0.164348274,16.152,0.113858836,17.077,0.104070067,18.902,0.110252447,,,,,17.498,0.192286193,17.952,0.122414757,,,,
14.68,227.3833076,16.324,0.150437919,,,16.403,0.0937661,17.028,0.098918083,,,17.176,0.083462133,16.443,0.171561051,18.063,0.161257084,16.202,0.109737249,17.178,0.112313241,18.953,0.088614116,,,,,17.525,0.173840134,17.977,0.11626607,,,,
14.705,226.6944874,16.349,0.144255538,,,16.428,0.0937661,17.052,0.080886141,,,17.201,0.079340546,16.494,0.186501803,18.089,0.161257084,16.252,0.100978877,17.227,0.107161257,19.004,0.113858836,,,,,17.55,0.176634992,18.002,0.113471213,,,,
14.757,226.3024214,16.375,0.145285935,,,16.453,0.083977331,17.102,0.096342092,,,17.227,0.081916538,16.52,0.18134982,,,16.327,0.114889232,17.253,0.104585265,19.028,0.095311695,,,,,17.575,0.172722191,18.052,0.121296814,,,,
14.807,227.1081917,16.426,0.141164348,,,16.478,0.107676455,17.127,0.0937661,,,17.276,0.080370943,16.57,0.197836167,,,16.377,0.110767646,17.302,0.097887687,19.078,0.119010819,,,,,17.626,0.184460593,18.078,0.121296814,,,,
14.858,0.142194745,16.451,0.14374034,,,16.527,0.090159711,17.152,0.094281298,,,17.301,0.086553323,16.595,0.185471406,,,16.427,0.10922205,17.327,0.105615662,19.128,0.09994848,,,,,17.652,0.163778647,18.127,0.1235327,,,,
14.908,0.142194745,16.476,0.164348274,,,16.553,0.103554869,17.202,0.09994848,,,17.326,0.078310149,16.646,0.187017002,,,16.453,0.105615662,17.377,0.112313241,19.153,0.078825348,,,,,17.701,0.181665735,18.179,0.093907211,,,,
14.934,0.1561051,16.527,0.14683153,,,16.602,0.094796497,17.227,0.0937661,,,17.351,0.076764554,16.671,0.169500258,,,16.502,0.117980422,17.427,0.111282844,19.228,0.099433282,,,,,17.727,0.180547792,18.202,0.109558413,,,,
14.985,0.13755796,16.553,0.141679547,,,16.652,0.103554869,17.252,0.086038125,,,17.402,0.083977331,16.697,0.160226687,,,16.527,0.113858836,17.453,0.110252447,19.279,0.100978877,,,,,17.754,0.17607602,18.278,0.114030184,,,,
15.036,0.127253993,16.629,0.146316332,,,16.678,0.109737249,17.303,0.110252447,,,17.426,0.087068521,16.747,0.170015456,,,16.552,0.105615662,17.502,0.117980422,19.328,0.097372488,,,,,17.803,0.163778647,,,,,,
15.061,0.138073158,16.656,0.13755796,,,16.727,0.085522926,17.327,0.094281298,,,17.451,0.09067491,16.773,0.176713035,,,16.602,0.111282844,17.527,0.120556414,19.379,0.105100464,,,,,17.855,0.170486305,,,,,,
15.112,0.129314786,16.68,0.141679547,,,16.752,0.08758372,17.353,0.089129315,,,17.476,0.085007728,16.798,0.174137043,,,16.628,0.096342092,17.577,0.100463679,19.428,0.09685729,,,,,17.879,0.169368362,,,,,,
15.137,0.142194745,16.73,0.139103555,,,16.802,0.099433282,17.378,0.085007728,,,17.502,0.076764554,16.823,0.175167439,,,16.652,0.106646059,17.602,0.119010819,19.452,0.109737249,,,,,17.93,0.167691448,,,,,,
15.188,0.136012365,16.783,0.151468315,,,16.827,0.100978877,17.402,0.097887687,,,17.526,0.076249356,16.848,0.166924266,,,16.702,0.113343637,17.627,0.09685729,19.503,0.09994848,,,,,17.957,0.182783678,,,,,,
15.214,0.122617208,16.807,0.124162803,,,16.853,0.097887687,17.477,0.0937661,,,17.576,0.087068521,16.9,0.179289026,,,16.728,0.114889232,17.677,0.102524472,19.552,0.105615662,,,,,18.006,0.18725545,,,,,,
15.264,0.145285935,16.832,0.141164348,,,16.903,0.102009274,17.502,0.088614116,,,17.602,0.077794951,16.924,0.163833076,,,16.777,0.107676455,17.702,0.118495621,19.603,0.098918083,,,,,18.058,0.185019564,,,,,,
15.289,0.14683153,16.858,0.147346728,,,16.927,0.093250902,17.552,0.103554869,,,17.651,0.088614116,16.949,0.148377125,,,16.802,0.092220505,17.752,0.120556414,19.628,0.089644513,,,,,18.133,0.167132476,,,,,,
15.315,0.15301391,16.934,0.14683153,,,16.953,0.088614116,17.577,0.092220505,,,17.702,0.078310149,16.975,0.205048944,,,16.828,0.106646059,17.803,0.121586811,19.678,0.091190108,,,,,18.184,0.200111794,,,,,,
15.367,0.145801133,16.959,0.143225142,,,17.002,0.094796497,17.603,0.091705307,,,17.726,0.077279753,17.025,0.174137043,,,16.877,0.111798042,17.827,0.111282844,19.703,0.082946935,,,,,18.235,0.17216322,,,,,,
15.417,0.136527563,16.984,0.127253993,,,17.027,0.0937661,17.628,0.09685729,,,17.751,0.078825348,17.051,0.189077795,,,16.902,0.097887687,17.877,0.104070067,19.753,0.09994848,,,,,18.285,0.183901621,,,,,,
15.467,0.130345183,17.036,0.137042761,,,17.053,0.107676455,17.652,0.088098918,,,17.802,0.085007728,17.076,0.183410613,,,16.952,0.113343637,17.903,0.101494075,19.778,0.097372488,,,,,18.311,0.17216322,,,,,,
15.494,0.130860381,17.061,0.114889232,,,17.077,0.086553323,17.702,0.082946935,,,17.826,0.076764554,17.126,0.155074704,,,16.977,0.106646059,17.952,0.113858836,19.828,0.09067491,,,,,18.362,0.178311906,,,,,,
15.518,0.153529109,17.086,0.124162803,,,17.104,0.092220505,17.754,0.104585265,,,17.876,0.077279753,17.152,0.163317877,,,17.002,0.117980422,18.002,0.120556414,19.878,0.089644513,,,,,18.413,0.172722191,,,,,,
15.544,0.120556414,17.137,0.15301391,,,17.153,0.089129315,17.802,0.0937661,,,17.901,0.072127769,17.202,0.209170531,,,17.052,0.10922205,18.052,0.099433282,19.904,0.090159711,,,,,18.438,0.182224707,,,,,,
15.569,0.135497166,17.162,0.155074704,,,17.177,0.095826893,17.827,0.10613086,,,17.926,0.077279753,17.228,0.172076249,,,17.102,0.109737249,18.077,0.096342092,19.953,0.089644513,,,,,18.463,0.180547792,,,,,,
15.594,0.130860381,17.188,0.151983514,,,17.227,0.082431736,17.877,0.082431736,,,17.976,0.080886141,17.254,0.159711489,,,17.127,0.107161257,18.127,0.113343637,20.003,0.119526018,,,,,18.514,0.174399106,,,,,,
15.646,0.133436373,17.238,0.153529109,,,17.254,0.101494075,17.902,0.087068521,,,18.001,0.078825348,17.304,0.175682638,,,17.177,0.134981968,18.177,0.107676455,,,,,,,18.54,0.183901621,,,,,,
15.671,0.113858836,17.264,0.128284389,,,17.278,0.099433282,17.928,0.09685729,,,18.051,0.076249356,17.329,0.190108192,,,17.202,0.117465224,18.202,0.097887687,,,,,,,18.592,0.169368362,,,,,,
15.696,0.13446677,17.289,0.138588357,,,17.302,0.088614116,17.978,0.091705307,,,18.101,0.081916538,17.355,0.1561051,,,17.252,0.097372488,18.252,0.108191654,,,,,,,18.616,0.200111794,,,,,,
15.721,0.143225142,17.315,0.135497166,,,17.328,0.086553323,18.002,0.105100464,,,18.126,0.079340546,17.379,0.168469861,,,17.279,0.098918083,18.277,0.102524472,,,,,,,18.667,0.196757965,,,,,,
15.747,0.14064915,17.391,0.144770737,,,17.378,0.10613086,18.052,0.098918083,,,18.176,0.078310149,17.43,0.185986605,,,17.302,0.104585265,18.327,0.090159711,,,,,,,18.692,0.173840134,,,,,,
15.774,0.176197836,17.442,0.135497166,,,17.403,0.083462133,18.078,0.105100464,,,18.226,0.080370943,17.456,0.173106646,,,17.327,0.117465224,,,,,,,,,18.717,0.172722191,,,,,,
15.798,0.128799588,17.467,0.138073158,,,17.452,0.085522926,18.102,0.09067491,,,18.276,0.070582174,17.506,0.182380216,,,17.378,0.104585265,,,,,,,,,18.795,0.188373393,,,,,,
15.823,0.161257084,17.492,0.139618753,,,17.477,0.098402885,18.128,0.088098918,,,18.301,0.076249356,17.531,0.175682638,,,17.402,0.098918083,,,,,,,,,18.82,0.173840134,,,,,,
15.848,0.133951571,17.543,0.141679547,,,17.504,0.103554869,18.152,0.092735703,,,18.326,0.076249356,17.557,0.166924266,,,17.452,0.109737249,,,,,,,,,18.844,0.173281163,,,,,,
15.9,0.151468315,17.594,0.125708398,,,17.552,0.108706852,18.203,0.10922205,,,18.376,0.078825348,17.607,0.168985059,,,17.478,0.100463679,,,,,,,,,18.896,0.176634992,,,,,,
15.95,0.122102009,17.62,0.131890778,,,17.579,0.099433282,18.228,0.079340546,,,18.402,0.076764554,17.658,0.190108192,,,17.527,0.121586811,,,,,,,,,18.922,0.192286193,,,,,,
15.975,0.138588357,17.645,0.14992272,,,17.628,0.100463679,18.253,0.088614116,,,18.451,0.090159711,17.684,0.165378671,,,17.552,0.125193199,,,,,,,,,18.971,0.181665735,,,,,,
16.001,0.14683153,17.67,0.14374034,,,17.653,0.106646059,18.278,0.076764554,,,18.476,0.08140134,17.709,0.153529109,,,17.577,0.110252447,,,,,,,,,18.998,0.193404136,,,,,,
16.027,0.143225142,17.696,0.13446677,,,17.703,0.087068521,18.327,0.100463679,,,18.526,0.08449253,17.759,0.164863472,,,17.602,0.10613086,,,,,,,,,19.023,0.184460593,,,,,,
16.051,0.147346728,17.723,0.145285935,,,17.752,0.098918083,18.353,0.080370943,,,18.551,0.08449253,17.784,0.180319423,,,17.652,0.105615662,,,,,,,,,19.073,0.184460593,,,,,,
16.077,0.154559505,17.772,0.151468315,,,17.779,0.089129315,18.377,0.092735703,,,18.602,0.074703761,17.81,0.165893869,,,17.677,0.114889232,,,,,,,,,19.125,0.208496367,,,,,,
16.102,0.126223596,17.823,0.156620299,,,17.827,0.104585265,18.403,0.109737249,,,18.626,0.079340546,17.835,0.179804225,,,17.702,0.0937661,,,,,,,,,19.175,0.189491336,,,,,,
16.128,0.13137558,17.849,0.147346728,,,17.852,0.105100464,18.428,0.092735703,,,18.651,0.099433282,17.86,0.162802679,,,17.752,0.117465224,,,,,,,,,19.2,0.170486305,,,,,,
16.178,0.128799588,17.874,0.145285935,,,17.902,0.085522926,18.477,0.089644513,,,18.676,0.069036579,,,,,17.777,0.120041216,,,,,,,,,19.251,0.207378424,,,,,,
16.205,0.139618753,17.924,0.122102009,,,17.928,0.078825348,18.503,0.072642968,,,18.701,0.068006182,,,,,17.827,0.10303967,,,,,,,,,19.276,0.174958077,,,,,,
16.23,0.144255538,17.949,0.146316332,,,17.952,0.107676455,18.528,0.102524472,,,18.751,0.082946935,,,,,17.852,0.125193199,,,,,,,,,19.328,0.171604248,,,,,,
16.255,0.145285935,17.975,0.133951571,,,18.003,0.101494075,18.578,0.088098918,,,18.776,0.093250902,,,,,17.877,0.114889232,,,,,,,,,19.378,0.174958077,,,,,,
16.305,0.124678001,18.026,0.143225142,,,18.028,0.092735703,,,,,18.801,0.078310149,,,,,17.927,0.113343637,,,,,,,,,19.403,0.166573505,,,,,,
16.332,0.140133952,18.052,0.13755796,,,18.053,0.092220505,,,,,18.851,0.077794951,,,,,17.952,0.127253993,,,,,,,,,19.455,0.182224707,,,,,,
16.356,0.140133952,18.102,0.144255538,,,18.079,0.086038125,,,,,18.877,0.081916538,,,,,17.977,0.114374034,,,,,,,,,19.479,0.188932364,,,,,,
16.382,0.133436373,18.127,0.14992272,,,,,,,,,18.926,0.077794951,,,,,18.002,0.10922205,,,,,,,,,19.505,0.160424818,,,,,,
16.433,0.13755796,18.154,0.144770737,,,,,,,,,18.951,0.077279753,,,,,18.052,0.105615662,,,,,,,,,19.53,0.173840134,,,,,,
16.458,0.130860381,18.178,0.156620299,,,,,,,,,18.976,0.063884596,,,,,18.077,0.115919629,,,,,,,,,19.581,0.177193963,,,,,,
16.509,0.13137558,18.204,0.14683153,,,,,,,,,19.002,0.083977331,,,,,18.102,0.105615662,,,,,,,,,,,,,,,,
16.534,0.138588357,18.256,0.132921175,,,,,,,,,,,,,,,18.127,0.127253993,,,,,,,,,,,,,,,,
16.559,0.147861927,18.28,0.13446677,,,,,,,,,,,,,,,18.152,0.09685729,,,,,,,,,,,,,,,,
16.585,0.121071613,18.305,0.141164348,,,,,,,,,,,,,,,18.203,0.130345183,,,,,,,,,,,,,,,,
16.637,0.159711489,18.33,0.134981968,,,,,,,,,,,,,,,18.252,0.119010819,,,,,,,,,,,,,,,,
16.662,0.134981968,18.356,0.129314786,,,,,,,,,,,,,,,18.279,0.113858836,,,,,,,,,,,,,,,,
16.687,0.143225142,18.381,0.144255538,,,,,,,,,,,,,,,18.327,0.129829985,,,,,,,,,,,,,,,,
16.712,0.148892324,18.407,0.140133952,,,,,,,,,,,,,,,18.352,0.10613086,,,,,,,,,,,,,,,,
16.737,0.111798042,18.434,0.155074704,,,,,,,,,,,,,,,18.377,0.115919629,,,,,,,,,,,,,,,,
16.763,0.144255538,18.457,0.139618753,,,,,,,,,,,,,,,18.402,0.10613086,,,,,,,,,,,,,,,,
16.788,0.141164348,18.508,0.130860381,,,,,,,,,,,,,,,18.428,0.09994848,,,,,,,,,,,,,,,,
16.814,0.130860381,18.559,0.157135497,,,,,,,,,,,,,,,18.452,0.114889232,,,,,,,,,,,,,,,,
16.864,0.153529109,18.585,0.139618753,,,,,,,,,,,,,,,18.503,0.124678001,,,,,,,,,,,,,,,,
16.915,0.138588357,18.635,0.130860381,,,,,,,,,,,,,,,18.552,0.110767646,,,,,,,,,,,,,,,,
16.94,0.133436373,18.661,0.142194745,,,,,,,,,,,,,,,18.577,0.108706852,,,,,,,,,,,,,,,,
16.967,0.133436373,18.686,0.128799588,,,,,,,,,,,,,,,18.602,0.097887687,,,,,,,,,,,,,,,,
16.991,0.142194745,18.711,0.158681092,,,,,,,,,,,,,,,18.629,0.107161257,,,,,,,,,,,,,,,,
17.017,0.14683153,18.737,0.136527563,,,,,,,,,,,,,,,18.652,0.105615662,,,,,,,,,,,,,,,,
17.042,0.133951571,18.788,0.137042761,,,,,,,,,,,,,,,18.702,0.100463679,,,,,,,,,,,,,,,,
17.093,0.144255538,18.813,0.138588357,,,,,,,,,,,,,,,18.728,0.105100464,,,,,,,,,,,,,,,,
17.118,0.145801133,18.838,0.135497166,,,,,,,,,,,,,,,18.777,0.107161257,,,,,,,,,,,,,,,,
17.144,0.157650696,18.889,0.139618753,,,,,,,,,,,,,,,18.802,0.104585265,,,,,,,,,,,,,,,,
17.195,0.142709943,18.916,0.150953117,,,,,,,,,,,,,,,18.828,0.120556414,,,,,,,,,,,,,,,,
17.22,0.162802679,18.94,0.142194745,,,,,,,,,,,,,,,18.852,0.101494075,,,,,,,,,,,,,,,,
17.245,0.126223596,18.965,0.13446677,,,,,,,,,,,,,,,18.877,0.097372488,,,,,,,,,,,,,,,,
17.296,0.150953117,19.017,0.124162803,,,,,,,,,,,,,,,18.927,0.102524472,,,,,,,,,,,,,,,,
17.321,0.150437919,19.042,0.158681092,,,,,,,,,,,,,,,18.952,0.102524472,,,,,,,,,,,,,,,,
17.347,0.130860381,19.067,0.145285935,,,,,,,,,,,,,,,18.977,0.110252447,,,,,,,,,,,,,,,,
17.398,0.143225142,19.119,0.144770737,,,,,,,,,,,,,,,19.002,0.120041216,,,,,,,,,,,,,,,,
17.423,0.14064915,19.143,0.112828439,,,,,,,,,,,,,,,19.029,0.111798042,,,,,,,,,,,,,,,,
17.449,0.138588357,19.169,0.129829985,,,,,,,,,,,,,,,19.077,0.096342092,,,,,,,,,,,,,,,,
17.474,0.147861927,19.194,0.158681092,,,,,,,,,,,,,,,19.102,0.107161257,,,,,,,,,,,,,,,,
17.499,0.14374034,19.22,0.132921175,,,,,,,,,,,,,,,19.127,0.105100464,,,,,,,,,,,,,,,,
17.524,0.1561051,19.245,0.149407522,,,,,,,,,,,,,,,19.177,0.102009274,,,,,,,,,,,,,,,,
17.55,0.130860381,19.296,0.128284389,,,,,,,,,,,,,,,19.203,0.110767646,,,,,,,,,,,,,,,,
17.575,0.163833076,19.346,0.158165894,,,,,,,,,,,,,,,19.252,0.092735703,,,,,,,,,,,,,,,,
17.626,0.134981968,19.372,0.139103555,,,,,,,,,,,,,,,19.278,0.112313241,,,,,,,,,,,,,,,,
17.652,0.14683153,19.397,0.142709943,,,,,,,,,,,,,,,19.327,0.096342092,,,,,,,,,,,,,,,,
17.702,0.14064915,19.449,0.14374034,,,,,,,,,,,,,,,19.352,0.114374034,,,,,,,,,,,,,,,,
17.728,0.148892324,19.473,0.130345183,,,,,,,,,,,,,,,19.377,0.110252447,,,,,,,,,,,,,,,,
17.753,0.162287481,19.499,0.138588357,,,,,,,,,,,,,,,19.403,0.107161257,,,,,,,,,,,,,,,,
17.78,0.150437919,19.525,0.136527563,,,,,,,,,,,,,,,19.452,0.120041216,,,,,,,,,,,,,,,,
17.804,0.150953117,19.575,0.133436373,,,,,,,,,,,,,,,19.527,0.105100464,,,,,,,,,,,,,,,,
17.855,0.142709943,19.602,0.14374034,,,,,,,,,,,,,,,19.577,0.091190108,,,,,,,,,,,,,,,,
17.881,0.142709943,19.627,0.133951571,,,,,,,,,,,,,,,19.602,0.102524472,,,,,,,,,,,,,,,,
17.906,0.139103555,19.677,0.131890778,,,,,,,,,,,,,,,19.652,0.100463679,,,,,,,,,,,,,,,,
17.931,0.134981968,19.704,0.167954663,,,,,,,,,,,,,,,19.679,0.10922205,,,,,,,,,,,,,,,,
17.982,0.13755796,19.727,0.136527563,,,,,,,,,,,,,,,19.702,0.101494075,,,,,,,,,,,,,,,,
18.007,0.13755796,19.753,0.152498712,,,,,,,,,,,,,,,19.752,0.120041216,,,,,,,,,,,,,,,,
18.033,0.143225142,19.778,0.142709943,,,,,,,,,,,,,,,19.803,0.107676455,,,,,,,,,,,,,,,,
18.058,0.147346728,19.805,0.151468315,,,,,,,,,,,,,,,19.827,0.119010819,,,,,,,,,,,,,,,,
18.109,0.158165894,19.88,0.137042761,,,,,,,,,,,,,,,19.852,0.114889232,,,,,,,,,,,,,,,,
18.134,0.143225142,19.906,0.150953117,,,,,,,,,,,,,,,19.903,0.112828439,,,,,,,,,,,,,,,,
18.16,0.141164348,19.931,0.14992272,,,,,,,,,,,,,,,19.927,0.120041216,,,,,,,,,,,,,,,,
18.211,0.155074704,19.956,0.15301391,,,,,,,,,,,,,,,19.978,0.113343637,,,,,,,,,,,,,,,,
18.261,0.120556414,19.981,0.139618753,,,,,,,,,,,,,,,20.003,0.115404431,,,,,,,,,,,,,,,,
18.287,0.14992272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.312,0.130860381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.337,0.14992272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.388,0.139618753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.413,0.141164348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.439,0.139103555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.465,0.132921175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.491,0.149407522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.516,0.13755796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.54,0.138588357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.591,0.138588357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.642,0.149407522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.667,0.140133952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.693,0.139618753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.719,0.146316332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
