condition_id,trajectory,region,pixel_count,t10_s,t30_s,t50_s,t90_s,t95_s,t99_s,delta_t10_s,delta_t30_s,delta_t50_s,delta_t90_s,delta_t95_s,delta_t99_s,full_duration_rmse,full_duration_mae,full_duration_sample_count,pre_saturation_rmse,pre_saturation_mae,pre_saturation_sample_count,rise_region_rmse,rise_region_mae,rise_region_sample_count,maximum_absolute_error
30mW_0mM,full_power_Lshape,full_target,22881,1.0625995998856816,1.3801691446163646,1.8010457313862867,3.916470529883443,4.893075957951847,7.348216164696911,0.18965552185851486,0.056024179040800925,0.08713374356769998,0.4935163220040186,0.7485204621088792,1.6791812981390324,0.023541051019082705,0.013511070653684244,401,0.042370856539048485,0.03845544308423836,118,0.04281433346168717,0.03942689288552243,96,0.10846720698860232
30mW_0mM,full_power_Lshape,interior_N1,22185,1.0582458337434726,1.3639265813846002,1.763715586035267,3.638317174231133,4.442405318511252,6.309044562780269,0.1853017557163058,0.0397816158090365,0.049803598216680234,0.2153629663517087,0.29784982266828397,0.64000969622239,0.01703924486548608,0.007898238161926679,401,0.031078735714430195,0.023983845525119684,118,0.028776002697468675,0.02212226569952457,96,0.10846720698860232
30mW_0mM,full_power_Lshape,boundary_N1,696,3.3470833681554777,4.267523945007641,5.205468137744518,8.859521350599316,10.470655901938828,16.7422208588957,2.474139290128311,2.943378979432077,3.4915561499259313,5.436567142719891,6.32610040609586,11.07318599233782,0.31893132558227333,0.19242011231481201,401,0.5635970211225195,0.49973767016246895,118,0.619451817633426,0.5910118905078172,96,0.816379040680987
30mW_0mM,full_power_Lshape,interior_N2,21497,1.0539476301120643,1.3482935356590326,1.7384935989805355,3.60375123131913,4.407180422641932,6.272679590141235,0.1810035520848975,0.024148570083468934,0.02458161116194879,0.18079702343970583,0.26262492679896443,0.603644723583356,0.015609550909533646,0.006788478060590186,401,0.02843466832747203,0.020301627838130134,118,0.025199193298532013,0.017616515500210362,96,0.10846720698860232
30mW_0mM,full_power_Lshape,boundary_N2,1384,1.8391213888681175,2.7402644133833896,3.734552924180275,7.430358960078982,8.919372086933752,13.153947322970636,0.9661773108409507,1.4161194478078258,2.020640936361688,4.007404752199557,4.774816591090784,7.484912456412757,0.19979198737064846,0.11792997439819565,401,0.35753555433528117,0.3204299388267997,118,0.39364720794613683,0.37819699096610515,96,0.5155705004410792
30mW_0mM,full_power_Lshape,interior_N4,20145,1.0474343924660197,1.3388475454666033,1.7288998760501308,3.5941152805904024,4.397425605723887,6.262950984499371,0.17449031443885288,0.014702579891039624,0.014987888231544177,0.17116107271097825,0.2528701098809192,0.5939161179414922,0.015040127885349964,0.006350822427212616,401,0.02737779572201559,0.018837376153688874,118,0.023718892663089502,0.015822030819684585,96,0.10846720698860232
30mW_0mM,full_power_Lshape,boundary_N4,2736,1.3275155268786816,1.8682082688709394,2.6030922547079944,6.108384879725087,7.536130643423757,11.125652790625962,0.4545714488515148,0.5440633032953757,0.8891802668894078,2.6854306718456624,3.391575147580789,5.456617924068083,0.11193902764874054,0.06626219129485521,401,0.20091530317572706,0.18300623888223322,118,0.22079662807097686,0.21335606082228495,96,0.28961292798090466
30mW_0mM,closed_loop_MPC_native_replay,full_target,22881,1.0719562662011277,1.379527801816309,1.7738470561948385,3.667731073317787,4.490256352911575,6.408056606498194,0.19901218817396094,0.05538283624074536,0.05993506837625184,0.24477686543836263,0.3457008570686071,0.7390217399403154,0.018450652412363572,0.008790742963124664,401,0.033647528766774876,0.026703990410254078,118,0.03211699027554358,0.02541798164630633,96,0.1145914381691577
30mW_0mM,closed_loop_MPC_native_replay,interior_N1,22185,1.0676672707031571,1.3660071778101068,1.7587077763728325,3.6457000041481735,4.464702152463817,6.370360567375886,0.19472319267599036,0.04186221223454312,0.04479578855424582,0.22274579626874935,0.3201466566208486,0.7013257008180069,0.017389108235653948,0.008056616630785607,401,0.03169268651740435,0.024327933068496104,118,0.029578572151535858,0.022516938514591644,96,0.11423342938957234
30mW_0mM,closed_loop_MPC_native_replay,boundary_N1,696,1.4679267841316521,1.7805617500610484,2.19971586007989,4.265496129375999,5.175001903191016,7.361280119980003,0.5949827061044853,0.45641678448548473,0.48580387226130317,0.8425419214965753,1.0304464073480482,1.692245253422124,0.07028045201409425,0.032191345489862064,401,0.12916547008385623,0.10244092537297572,118,0.14186213316411178,0.1178888872107889,96,0.2875649932210226
30mW_0mM,closed_loop_MPC_native_replay,interior_N2,21497,1.0634382800976883,1.3574604106933263,1.7501831121675762,3.637892442872461,4.456979760098479,6.363317915774446,0.19049420207052148,0.03331544511776263,0.03627112434898949,0.21493823499303666,0.31242426425551084,0.6942830492165672,0.016829868247896923,0.007687596826723067,401,0.03065395116417723,0.023091381619351307,118,0.02820230633766359,0.021001179291528477,96,0.11385675131765624
