component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,101,5833.76,0.4719489913175602,0.0,0.801980198019802,0.19801980198019797
2,202,11667.52,0.9571844392483777,0.9414383172988892,0.9801980198019802,0.01980198019801982
3,303,17501.28,0.9736026993679134,0.9802628874778747,0.9801980198019802,0.01980198019801982
4,404,23335.04,0.981460682826467,0.9856614470481873,0.9900990099009901,0.00990099009900991
5,505,29168.8,0.985499377297883,0.9863048076629639,0.9920792079207921,0.007920792079207928
6,606,35002.56,0.9879964126808809,0.9876571893692017,0.9933993399339934,0.0066006600660065695
7,707,40836.32,0.989708405910152,0.9884965181350708,0.9943422913719944,0.005657708628005631
8,808,46670.08,0.9909618367062937,0.9889667630195618,0.995049504950495,0.004950495049504955
9,1313,75838.88,0.9942427151818722,0.9895641684532166,0.996953541507997,0.0030464584920030235
10,1818,105007.68,0.9956736998392803,0.9896785020828247,0.9977997799779978,0.002200220022002153
11,2323,134176.47999999998,0.9964799560507053,0.9897032976150513,0.998278088678433,0.0017219113215669601
12,2828,163345.28,0.9969980100214566,0.9897067368030548,0.9985855728429985,0.0014144271570014633
13,3630,209668.8,0.9974466199717246,0.9897071719169617,0.9988980716253444,0.001101928374655614
14,4840,279558.39999999997,0.9979384322673821,0.9897071719169617,0.9991735537190083,0.0008264462809917106
15,6050,349448.0,0.9982335192999564,0.9897071719169617,0.9993388429752066,0.0006611570247934129
16,7260,419337.6,0.9984302439554992,0.9993331432342529,0.9994490358126722,0.000550964187327807
17,8470,489227.2,0.9985707616369727,0.9994377493858337,0.9995277449822905,0.00047225501770953304
