component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,101,5833.76,0.39988094037122063,0.39941155910491943,0.0,1.0
2,202,11667.52,0.3921852191485981,0.3990522623062134,0.0,1.0
3,303,17501.28,0.4007702127541646,0.39856064319610596,0.0,1.0
4,404,23335.04,0.4002796283157745,0.3990213543176651,0.0,1.0
5,505,29168.8,0.4003791581286062,0.39686002731323244,0.0,1.0
6,606,35002.56,0.40032578458880436,0.39918261766433716,0.0,1.0
7,707,40836.32,0.4015253520922411,0.3913832724094391,0.0,1.0
8,808,46670.08,0.4006189996063119,0.39843776226043703,0.0,1.0
9,1313,75838.88,0.40086293420261404,0.39593355655670165,0.0,1.0
10,1818,105007.68,0.4006185882752485,0.3961940467357635,0.0,1.0
11,2323,134176.47999999998,0.40430954582363793,0.3941307067871094,0.0,1.0
12,2828,163345.28,0.41590916699449276,0.3940841555595398,0.05304101838755304,0.946958981612447
13,3630,209668.8,0.42276551444340016,0.39408284425735474,0.1046831955922865,0.8953168044077136
14,4840,279558.39999999997,0.4611673035158599,0.39420366287231445,0.27479338842975204,0.725206611570248
15,6050,349448.0,0.49967959891666064,0.39548003375530244,0.3768595041322314,0.6231404958677687
16,7260,419337.6,0.5268020330053387,0.3959171146154404,0.44490358126721763,0.5550964187327824
17,8470,489227.2,0.5461744993326937,0.39595408737659454,0.4935064935064935,0.5064935064935066
