component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,101,5833.76,0.3999171870769841,0.3958725333213806,0.0,1.0
2,202,11667.52,0.40097909870714243,0.3968230724334717,0.0,1.0
3,303,17501.28,0.4050235811239815,0.38458419442176817,0.0,1.0
4,404,23335.04,0.4006180342766318,0.3991471976041794,0.0,1.0
5,505,29168.8,0.4058888489657109,0.37448041439056395,0.0,1.0
6,606,35002.56,0.40097621211124335,0.39777494966983795,0.0,1.0
7,707,40836.32,0.4006896977546023,0.3709614098072052,0.0,1.0
8,808,46670.08,0.4141709589131988,0.3700974196195602,0.0,1.0
9,1313,75838.88,0.476113148708881,0.38634729385375977,0.3541507996953541,0.6458492003046459
10,1818,105007.68,0.5241777672298146,0.38329005241394043,0.5115511551155115,0.4884488448844885
11,2323,134176.47999999998,0.5621024882593291,0.38500619530677793,0.6005165733964701,0.39948342660352987
12,2828,163345.28,0.5934663253929862,0.38500325083732606,0.6577086280056577,0.34229137199434234
13,3630,209668.8,0.6090011375502121,0.38498995900154115,0.6848484848484848,0.3151515151515152
14,4840,279558.39999999997,0.6499964996310305,0.3861437737941742,0.7471074380165289,0.2528925619834711
15,6050,349448.0,0.6745910220697892,0.3879384011030197,0.7844628099173554,0.2155371900826446
16,7260,419337.6,0.6909873344435179,0.39582735300064087,0.809366391184573,0.190633608815427
17,8470,489227.2,0.7026990196077151,0.396048030257225,0.8271546635182999,0.17284533648170008
